id,ids,Title,"abstract","affiliations"
P1007,P1007,Influence of haptic feedback on perception of threat and peripersonal space in social VR,"Humans notably interpret social interactions through nonverbal cues like body language, personal space, and touch. In VR, personal space violations can feel more severe, with psychological effects akin to real life. While ""personal bubble"" features in VR aim to prevent harassment, they may not suffice. This study evaluates how social touch influences personal space perception. Participants wearing a haptic compression belt encountered virtual agents displaying threatening or neutral behavior. Personal space violations were perceived earlier with angry agents and haptic feedback. Results align with previous studies, highlighting haptic devices' potential to refine VR social interaction design.","Vojt?ch Smekal: Maastricht University, Jeanne Hecquard: Inria, Sophie Khne: Maastricht University, Nicole Occidental: Maastricht University, Anatole L‚cuyer: Inria, Marc J-M Mac‚: CNRS / Rennes 1, Beatrice de Gelder: Maastricht University"
P1008,P1008,The Reliability and Validity of the Avatar Embodiment Questionnaire,"We assess the reliability of the Avatar Embodiment Questionnaire (AEQ) proposed by Peck and Gonzalez-Franco through 2-5 repeated exposures, each approximately two-weeks apart. Participants were embodied in same or cross-gendered avatars and results were assessed using three common reliability analyses. For participants in same-gendered avatars, the AEQ demonstrated acceptable or better reliability. For participants in cross-gendered avatars, the AEQ demonstrated questionable reliability for the initial trial and acceptable to excellent reliability thereafter. Results support that the AEQ is a reliable questionnaire, however minor experimental design changes should be considered when using avatars that are diversely different from the user.","Tabitha C. Peck: Davidson College, Pauline W Cha: Davidson College"
P1009,P1009,The Impact of Environment Design Bias on Working Memory,"This work investigates subtle design differences in virtual environments on women+ performance. Non-male participants completed the Stroop Interference Task in two virtual environments: a neutral and a stereotypically STEM environment altered by four wall posters depicting positive gender-neutral to positive male figures, such as Albert Einstein. Results support that participants in the stereotypical environment were more distracted and responded more slowly and less accurately than in the neutral environment. We emphasize the importance of bias awareness in study design, and recommend that researchers consider how their experiments could impact participants of all demographics, in order to enhance inclusivity and non-biased results.","Jack Schwanewede: Davidson College, Alice Guth: Davidson College, Tabitha C. Peck: Davidson College"
P1011,P1011,The Impact of Avatar Clothing on the Proteus Effect and Stereotype Threat,"We investigate if avatar clothing-swaps induce a Proteus effect. Specifically, we investigate the impact of a woman avatar wearing business or science attire during a stereotype threatening situation. Participants in a successful woman business avatar experienced gender stereotype threat while participants in a successful woman science avatar were instead buffered from gender stereotype threat. Further, subjective embodiment was a significant predictor of response measures such that participants with higher subjective embodiment scores had better cognitive performance. This work demonstrates the potential of the Proteus effect to promote and support traditionally marginalized groups.","Pauline W Cha: Davidson College, Fangyi Li: Davidson College, Tabitha C. Peck: Davidson College"
P1021,P1021,Complex Virtual Environments on All-In-One VR Headsets Through Continuous From-Segment Visibility Computation,"All-in-one VR headsets have limited rendering power which limits the complexity of the virtual environments (VEs) that can be used in VR applications. This paper describes a novel visibility algorithm for making complex VEs tractable on all-in-one VR headsets. Given a view segment, the algorithm finds the set of triangles visible as a camera translates on the view segment. The visibility algorithm supports static and dynamic VEs, and it solves visibility with either triangle, particle, or object granularity. The visible sets yield output frames that are virtually indistinguishable from ground truth frames rendered from the original VEs.","Voicu Popescu: Purdue University, Elisha Sacks: Purdue University, Zirui Zhang: Purdue University, Jorge Askur Vazquez Fernandez: Purdue University"
P1032,P1032,MRUCT: Mixed Reality Assistance for Acupuncture Guided by Ultrasonic Computed Tomography,"We present MRUCT, a system combining ultrasonic computed tomography (UCT) and mixed reality (MR) to visualize acupuncture points in real-time, addressing the challenges faced by novice practitioners. The system provides offline image registration and real-time guidance for accurate needle insertion based on anatomical structures. We detail non-rigid registration methods for UCT data and key MR system design considerations. Evaluations with two 3D user interfaces show improved performance over traditional workflows for new practitioners and medical students, highlighting MR's potential to enhance acupuncture practices and facilitate clinical training.","Xinkai Wang: Southeast University, Yue Yang: Stanford University, Kehong Zhou: Southeast University, xue xie: Shanghai Sixth People's Hospital, Lifeng Zhu: Southeast University, Aiguo Song: Southeast University, Bruce Daniel: Stanford University"
P1038,P1038,Navigating Decision-Making Frontiers: Virtual Reality and Spatial Skills in Strategic Planning,"Navigating topographic charts requires nuanced skills and real-world correspondence, shaped by individual learning styles. Traditional 2D and 3D representations help bridge map-reality gaps but often rely on manual methods prone to errors. This study explores VR?s potential in military planning, focusing on terrain interpretation, data visualization, and scale transitions. With 36 army cadets, results show VR enhances spatial perception, improves position choices and grades, and reduces disparities, especially aiding users with lower spatial skills. The research also examines the impact of scale on VR planning, offering insights into its benefits and challenges. Future studies should address control issues and task completion times.","Jerson G Geraldo Neto: Brazilian Army, Anderson Maciel: Universidade de Lisboa, Luciana Nedel: Federal University of Rio Grande do Sul (UFRGS)"
P1049,P1049,Enhancing Patient Acceptance of Robotic Ultrasound through Conversational Virtual Agent and Immersive Visualizations,"Robotic ultrasound systems can enhance medical diagnostics, but patient acceptance is a challenge. We propose a system combining an AI-powered conversational virtual agent with three mixed reality visualizations to improve trust and comfort. The virtual agent, powered by a large language model, engages in natural conversations and guides the ultrasound robot, enhancing interaction reliability. The visualizations include augmented reality, augmented virtuality, and fully immersive virtual reality, each designed to create patient-friendly experiences. A user study demonstrated significant improvements in trust and acceptance, offering valuable insights for designing mixed reality and virtual agents in autonomous medical procedures.","Tianyu Song: Technical University of Munich, Felix Pabst: Technical University of Munich, Ulrich Eck: Technische Universitaet Muenchen, Nassir Navab: Technische Universit„t Mnchen"
P1052,P1052,Editable Mesh Animations Modeling Based on Controlable Particles for Real-Time XR,"The real-time generation of editable mesh animations in XR applications is challenging due to slow generation speeds and difficulty controlling complex shapes. We propose a universal particle control scheme based on target sampling features to address these issues. This includes a spatially adaptive control algorithm that adjusts forces according to model features, eliminating parameter dependency. Additionally, we implement boundary correction techniques and a distance-adaptive fragmentation mechanism. Experimental results show improved performance in controlling complex structures, enhancing accuracy and efficiency in generating multiple targets.","Xiangyang Zhou: University of Science and Technology Beijing, Yanrui Xu: University of Science and Technology Beijing, Chao Yao: University of Science and Technology Beijing, Xiaokun Wang: University of Science and Technology Beijing, Xiaojuan Ban: University of Science and Technology Beijing"
P1066,P1066,Usability Evaluation of Integrated and Separated Interfaces in an Immersive Authoring Tool based on Panoramic Videos,"This study evaluates the usability of an immersive authoring tool for Virtual Reality Learning Systems (VRLS) using panoramic videos. Two interface designs were compared: one integrating storyboarding and rendering visualization, and another separating these tasks. Results from 24 participants show that the separated interface outperforms the integrated one in effectiveness, efficiency, and user satisfaction, especially in complex scenarios. However, the integrated interface caused more cybersickness symptoms. These findings underline the importance of tailored interface design for immersive tools, offering valuable insights for creating user-friendly VRLS authoring systems that meet diverse design needs.","Daniel Xuan Hien Mai: Universit‚ Paris-Saclay, Guillaume Loup: Paris-Saclay, Jean-Yves Pascal Didier: Universit‚ Paris-Saclay"
P1087,P1087,Self-Similarity Beats Motor Contor in Augmented Reality Body Weight Perception,"Our work examines how self-similarity and motor control affect sense of embodiment, self-identification, and body weight perception in Augmented Reality (AR). In a 2x2 mixed design experiment, 60 participants interacted with synchronously or independently moving virtual humans, either with self-similar or generic appearance, across two AR sessions. Results show that self-similarity enhances sense of embodiment, self-identification, and weight estimation accuracy, while motor control effects were weaker than in similar VR studies. Participants? body weight, self-esteem, and body shape concerns also impacted estimates. These findings deepen understanding of AR body weight perception, highlighting real-world coherence as a key factor.","Marie Luisa Fiedler: University of Wrzburg, Mario Botsch: TU Dortmund University, Carolin Wienrich: University of Wrzburg, Marc Erich Latoschik: University of Wrzburg"
P1090,P1090,Personalized Dual-Level Color Grading for 360-degree Images in Virtual Reality,"The rising popularity of 360-degree images and VR has spurred a growing interest among creators in producing visually appealing content through effective color grading processes. We propose a dual-level Preferential Bayesian Optimization framework that integrates global and local color adjustments tailored for VR environments. We design and evaluate a novel context-aware preferential Gaussian Process (GP) to learn contextual preferences for local colors, taking into account the dynamic contexts of previously established global colors. Additionally, we design and evaluate three VR interfaces for color comparison.","Lin-Ping Yuan: The Hong Kong University of Science and Technology, John J Dudley: University of Cambridge, Per Ola Kristensson: University of Cambridge, Huamin Qu: The Hong Kong University of Science and Technology"
P1093,P1093,Optimizing Moving Target Selection in VR by Integrating Proximity-Based Feedback Types and Modalities,"Proximity-based feedback offers users real-time guidance toward an interaction goal, especially in tasks like selecting moving targets. This work explores proximity-based feedback types and modalities to improve the selection of moving targets in VR by leveraging three feedback types that combine visual, auditory, and haptic modalities. We evaluated the performance of these mechanisms through two user studies to explore the characteristics of feedback types across different modalities and to examine the roles of various modalities within multimodal combinations. Our findings suggest optimal selection mechanisms for developers and should be tailored to different goals.","Xuning Hu: Xi'an Jiaotong-Liverpool University, Wenxuan Xu: Xi'an Jiaotong-Liverpool University, Yushi Wei: The Hong Kong University of Science and Technology (Guangzhou), Hao Zhang: Chinese Academy of Sciences, Jin Huang: Chinese Academy of Sciences, Hai-Ning Liang: The Hong Kong University of Science and Technology (Guangzhou)"
P1101,P1101,Seeing is not Thinking: Testing Capabilities of VR to Promote Perspective-Taking,"Virtual Reality (VR) offers immersive experiences, often considered a tool for fostering perspective-taking (PT) by enabling users to see through another?s eyes. However, our study reveals that VR?s commonly assumed ability to facilitate PT is overstated. In a 2x2 design, we examined the effects of point of view (first-person, 1PP vs. third-person, 3PP) and a PT task on users' PT as thinking about others. Results showed that PT significantly improved only when participants were explicitly tasked with considering another's perspective. These findings highlight the importance of intentional design, emphasizing targeted tasks over mere viewpoint shifts to achieve authentic perspective-taking in VR.","Eugene Kukshinov: University of Waterloo, Federica Gini: University of Trento, Anchit Mishra: University of Waterloo, Nick Bowman: Syracuse University, Brendan Rooney: University College Dublin, Lennart E. Nacke: University of Waterloo"
P1104,P1104,AirtypeLogger: How Short Keystrokes in Virtual Space Can Expose Your Semantic Input to Nearby Cameras,"We present AirtypeLogger, a video-based attack on the air-typing activities of XR users. AirtypeLogger considers a scenario in which the users are typing a short text fragment with semantic meaning under the spy of video cameras. It detects and localizes the air-typing events in video streams and encodes the keystrokes? relative positions and temporal order. Then, high-precision inference can be achieved by applying a Transformer-based network to the spatial and temporal encodings of the keystroke sequences. Finally, AirtypeLogger can achieve a Character Error Rate of less than 0.1 as long as 7 air-typing events are observed.","Tongyu Zhang: Shandong University, Yiran Shen: Shandong University, Ning Chen: Shandong University, guoming zhang: Shandong University, Yuanfeng Zhou: Shandong University"
P1110,P1110,When Fear Overshadows Perceived Plausibility: The Influence of Incongruencies on Acrophobia in VR,"Virtual Reality Exposure Therapy (VRET) is an effective and affordable treatment for anxiety disorders, including acrophobia. To ensure positive outcomes, it is crucial to understand the effects of VR technology itself. This study examines the impact of the Plausibility illusion (Psi) on fear of heights. In two experiments, 30 participants experienced two heights with congruent and incongruent object behaviors in a 2x2 within-subject design. Results show that only strong incongruencies are recognized, particularly in high-fear conditions. Subtle incongruencies are overshadowed by fear responses. This highlights the need to control incidental factors in VRET to avoid unintended effects on fear responses.","Larissa Brbach: University of Wrzburg, Deniz Celikhan: University of Wrzburg, Lennard Rffert: Julius-Maximilians-Universit„t, Franziska Westermeier: Human-Computer Interaction Group, University of Wrzburg, Marc Erich Latoschik: University of Wrzburg, Carolin Wienrich: University of Wrzburg"
P1111,P1111,Interpupillary to Inter-Camera Distance of Video See-Through AR and its Impact on Depth Perception,"Interpupillary distance (IPD) is crucial to consider for correct depth perception in stereoscopic displays. While HMDs offer lens adjustments for individual IPDs, modern Video See-Through Augmented Reality (VST AR) devices place cameras at fixed positions, potentially causing IPD-ICD mismatches and perceptual incongruencies. In a 2x3 mixed-factor evaluation, we used a near-field reaching task in VR and VST AR, including a feedback phase for perceptual calibration. Linear Mixed Model analysis indicated differences between VR and VST AR, a notable effect of IPD-ICD mismatch, and their interaction. These findings underscore the importance of matching IPD and ICD in depth-sensitive XR applications and practical design considerations.","Franziska Westermeier: Human-Computer Interaction Group, University of Wrzburg, Chandni Murmu: Clemson University, Kristopher Kohm: Clemson University, Christopher Pagano: Clemson University, Carolin Wienrich: University of Wrzburg, Sabarish V. Babu: Clemson University, Marc Erich Latoschik: University of Wrzburg"
P1114,P1114,FovealNet: Advancing AI-Driven Gaze Tracking Solutions for Efficient Foveated Rendering in Virtual Reality,"This paper introduces FovealNet, an advanced AI-driven gaze tracking framework designed to optimize system performance by strategically enhancing gaze tracking accuracy. To further reduce the implementation cost of the gaze tracking algorithm, FovealNet employs an event-based cropping method that eliminates over 64.8% of irrelevant pixels from the input image. Additionally, it incorporates a simple yet effective token-pruning strategy that dynamically removes tokens without compromising tracking accuracy. Finally, to support different runtime rendering configurations, we propose a system performance-aware multi-resolution training strategy, allowing the gaze tracking DNN to adapt and optimize overall system performance more effectively.","wenxuan liu: New York University, Budmonde Duinkharjav: New York University, Qi Sun: New York University, Sai Qian Zhang: New York University"
P1118,P1118,Daddy Long Legs: A Scale and Speed Up Virtual Reality Locomotion Technique for Medium-Scale Scenarios,"Locomotion techniques are essential to enhance the sense of presence or ?being there? in Virtual Reality (VR). This research proposes a novel technique, ?Daddy Long Legs? (DLL), for navigating medium-scale virtual environments (VE). DLL builds on principles from Seven-League Boots (7LB) and Ground-Level Scaling (GLS), aiming to enhance positional accuracy by offering an elevated perspective while preserving immersion through the maintenance of the user?s interpupillary distance. A user study (n = 24) compared DLL, 7LB, and GLS in comfort, embodiment, workload, and walking behavior. DLL outperformed 7LB across measures, while GLS, noted for near-natural walking behavior, received the most favorable feedback and was the preferred method.","Yue Zhao: Human Interface Technology Laboratory New Zealand, Robert W. Lindeman: University of Canterbury, Thammathip Piumsomboon: University of Canterbury"
P1124,P1124,An Early Warning System Based on Visual Feedback for Light-Based Hand Tracking Failures in VR Head-Mounted Displays,"State-of-the-art VR Head-Mounted Displays (HMDs) enable hand interaction with virtual objects, but hand tracking accuracy is limited by camera hardware and software. This work explores a visual feedback mechanism to create an early warning system that alerts users of potential hand skeleton recognition failures. Two user studies evaluated its effectiveness: a cup stacking task and a ball sorting task. Visual warnings based on tracking confidence improved system usability and reduced frustration. These findings, while focused on VR HMDs, have broader implications for any system utilizing hand tracking, such as robotics, to enhance reliability and user experience.","Mohammad Raihanul Bashar: Concordia University, Anil Ufuk Batmaz: Concordia University"
