id,type,award,ptype
P1101,Journal,Best Paper,Journal
P1199,Journal,Best Paper,Journal
P1341,Journal,Best Paper,Journal
P1480,Journal,Best Paper,Journal
P1519,Journal,Best Paper,Journal
P1560,Journal,Best Paper,Journal
P2087,Journal,Best Paper,Journal
P1049,Journal,Honorable Mention,Journal
P1087,Journal,Honorable Mention,Journal
P1135,Journal,Honorable Mention,Journal
P1177,Journal,Honorable Mention,Journal
P1289,Journal,Honorable Mention,Journal
P1308,Journal,Honorable Mention,Journal
P1310,Journal,Honorable Mention,Journal
P1342,Journal,Honorable Mention,Journal
P1510,Journal,Honorable Mention,Journal
P1728,Journal,Honorable Mention,Journal
P1735,Journal,Honorable Mention,Journal
P1784,Journal,Honorable Mention,Journal
P1803,Journal,Honorable Mention,Journal
P1853,Journal,Honorable Mention,Journal
P2026,Journal,Honorable Mention,Journal
P2086,Journal,Honorable Mention,Journal
P2108,Journal,Honorable Mention,Journal
