demoid,title,author1first,author1last,author1institution,author2first,author2last,author2institution,author3first,author3last,author3institution,author4first,author4last,author4institution,author5first,author5last,author5institution,author6first,author6last,author6institution,author7first,author7last,author7institution,author8first,author8last,author8email,author8institution,author9first,author9last,author9institution,author10first,author10last,author10institution,author11first,author11last,author11institution,author12first,author12last,author12institution,abstract,url,hall,booth,urlvimeo
"PO1063","Demonstration of Petting Interaction with Breathing Cat Using Mid-Air Ultrasound Haptic Feedback","Juro","Hosoi","The University of Tokyo","Yuki","Ban","The University of Tokyo","Shinichi","Warisawa","The University of Tokyo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This study introduces a petting interaction system with a virtual breathing cat, utilizing mid-air ultrasound haptic feedback to enhance the realism of pet experiences in virtual reality (VR). Previous research has focused mainly on the tactile presentation of the fur texture, and interaction with realistic virtual animals has not been fully investigated. Therefore, based on the prior work, the proposed system employs airborne ultrasound tactile displays (AUTDs) and a hand tracking camera to deliver real-time, non-contact haptic feedback simulating not only the soft fur texture but also the breathing motion. By dynamically controlling the ultrasound focal point?s position and intensity, the system reproduces the tactile sensations of fur stroking and rhythmic respiratory motion. The visual component features a 3D cat model synchronized with breathing cycles, situated in a familiar domestic setting. User experience design focused on creating a calming interaction, with tactile feedback adjusting based on hand movement patterns.","oQrccIH301Y","SURCOUF","11"
"PO1084","Demonstration of Directional Force Feedback in Virtual Reality Tennis using Dual-Flywheel Haptics","Allyson","Chen","University of California, San Diego","Xuan","Gedney","University of California San Diego ","Jasmine","Roberts","University of California, San Digo ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This demo introduces a haptic feedback device for tennis simulation, designed to provide realistic physical sensations of ball impact through interaction with a virtual racket model. The system integrates with a Unity-based virtual setup where users are visually immersed in a virtual tennis court environment. Unlike previous systems, this device incorporates a mechanical interface that replicates the sensation of a tennis ball striking the racket using a dual flywheel system. This approach follows a one-controller, one-function paradigm, where each input device is dedicated to a specific function rather than serving as a general-purpose controller. This targeted design enhances realism and improves user immersion by providing precise, specialized feedback rather than distributing multiple functionalities across a single device. Furthermore, this system aligns with augmented virtuality, as it brings physical sensations into an otherwise fully virtual environment, reinforcing the sense of realism and presence.","sBvCS_lmmE0","SURCOUF","15"
"PO1080","FirstModulAR: Open Source Modular Augmented Reality Interfaces for First Responders","Regis","Kopper","Iowa State University","Jeronimo","Grandi","Augusta University","Erin","Argo","Augusta University","Jason","Jerald","NextGen Interactions","Rich","Bennett","NextGen Interactions","Connor","Shipway","NextGen Interactions",,,,,,,,,,,,,,,,,,,,"First responders operate in high-pressure environments where decisions must be made quickly and accurately. However, the increasing availability of real-time data presents a double-edged sword, while potentially valuable, the sheer volume of information can lead to cognitive overload, compromising situational awareness and performance. The FirstModulAR project seeks to address these challenges by developing modular Augmented Reality (AR) interfaces specifically tailored to public safety. By working closely with first responders, the project focuses on creating reusable AR modules that improve situational awareness and decision-making across diverse scenarios. This paper provides an overview of the system architecture, the modular design approach, and the integration of AR solutions into realistic public safety scenarios.",00ICJ2pgb5I,"CEZEMBRE","1"
"PO1029","StimulHeat: a Clip-On, Low-Energy and Wireless Device for Thermal Feedback when Grasping in VR","Matthieu","Mesnage","INSA Lyon, Ecole Centrale Lyon, Universite Claude Bernard Lyon 1, CPE Lyon, CNRS, INL UMR 5270, 69100","Sophie","Villenave","Ecole Centrale de Lyon, CNRS, INSA Lyon, Universite Claude Bernard Lyon 1, Université Lumiere Lyon 2, LIRIS, UMR5205, ENISE","Pierre","Raimbaud","Ecole Centrale de Lyon, CNRS, INSA Lyon, Universite Claude Bernard Lyon 1, Université Lumiere Lyon 2, LIRIS, UMR5205, ENISE","Guillaume","Lavoué","Ecole Centrale de Lyon, CNRS, INSA Lyon, Universite Claude Bernard Lyon 1, Université Lumiere Lyon 2, LIRIS, UMR5205, ENISE","Bertrand","Massot","INSA Lyon, Ecole Centrale Lyon, Universite Claude Bernard Lyon 1, CPE Lyon, CNRS, INL UMR 5270",,,,,,,,,,,,,,,,,,,,,,,"Adding thermal feedback to Virtual Reality (VR) experience enhances user immersion and the resulting feeling of presence. Our device, StimulHeat, provides a wireless, low-power and easy-to-use solution for delivering hot and cold sensations in VR, particularly when grasping objects. This demonstration highlights its integration with Valve Index Controllers, though it can be adapted to various controllers or tangible interfaces for both augmented and mixed reality experiences.","_0hOmilWdRA","CEZEMBRE","11"
"PO1016","RAGatar: Enhancing LLM-driven Avatars with RAG for Knowledge-Adaptive Conversations in Virtual Reality","Alexander","Marquardt","Institute of Visual Computing","David","Golchinfar","University of Applied Sciences Bonn-Rhein-Sieg","Daryoush","Vaziri","University of Applied Sciences",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"We present a virtual reality system that enables users to seamlessly switch between general conversations and domain-specific knowledge retrieval through natural interactions with AI-driven avatars. By combining MetaHuman technology with self-hosted large language models and retrieval-augmented generation, our system demonstrates how immersive AI interactions can enhance learning and training applications where both general communication and expert knowledge are required.","yMbhFWAVFew","CEZEMBRE","10"
"PO1121","Demo: Automated Multiparty Conversations Analysis in VR Massive Multiplayer Online Games Environments","Riccardo","Calcagno","Fondazione Bruno Kessler","Elio","Salvadori","Fondazione Bruno Kessler","Oscar","Mayora","Fondazione Bruno Kessler Research Institute","Giovanna","Varni","University of Trento","Luca","Turchet","University of Trento",,,,,,,,,,,,,,,,,,,,,,,"The study of social interactions in Massively Multiplayer Online Games (MMOGs) has largely focused on chat communication and speech content analysis. This paper introduces a novel tool designed to analyze social interactions among MMOG players by leveraging Conversation Analysis methodologies to systematically assess multi-party interactions during 6DOF Virtual Reality sessions. The Multiparty Conversation Analysis (MCA) tool can be applied in several MMOG contexts where social analysis is needed. In this demo paper, we present a specific application of the tool focusing on VR MMOG-based therapy for autistic teens. A video demo can be seen in: U4A4vkjUrvM","U4A4vkjUrvM","CEZEMBRE","9"
"PO1132","Demo: Out-Of-Body Experience induced after Virtual Embodiment","Pierre","Bourdin-Kreitz","Universitat Oberta de Catalunya","Andreu","Castano Jimenez","Universitat Pompeu Fabra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Out-of-body experiences (OBEs), where individuals perceive themselves as separated from their physical bodies, hold significant potential for research in psychology and neuroscience. We present a demonstration of a system designed to induce OBEs through immersive technology and virtual body ownership illusions (VBOI). Our approach uses personalized avatars, synchronized visuomotor and visuotactile stimulation, and real-time interaction to create strong VBOI, followed by the induction of OBEs via controlled camera movements. The system is lightweight, user-friendly, and offers better ecological validity, opening new avenues for studying mind-body relationships in controlled environments. Applications include advancing research on self-consciousness, embodiment, and disembodiment, as well as exploring therapeutic interventions for conditions such as PTSD and anxiety. In future research, we wish to explore virtual OBEs in more realistic contexts, such as VR car crash scenarios.","f8Wh0VrtS4k","CEZEMBRE","8"
"PO1044","Endomersion: An Immersive Remote Guidance and Feedback System for Robot-Assisted Minimally Invasive Surgery","Mats","Ellenberg","TUD Dresden University of Technology","Katja","Krug","TUD Dresden University of Technology","Yichen","Fan","TUD Dresden University of Technology","Jens","Krzywinski","Technische Universitat Dresden","Raimund","Dachselt","TUD Dresden University of Technology","Rayan","Younis","Medical Faculty and University Hospital Carl Gustav Carus, TUD Dresden University of Technology","Martin","Wagner","TUD Dresden University of Technology","Juergen","Weitz","juergen.weitz@ukdd.de","TUD Dresden University of Technology","Ariel","Rodriguez","NCT Dresden","Gregor","Just","NCT/UCC, Carl Gustav Carus Faculty of Medicine, TU Dresden","Sebastian","Bodenstedt","NCT Dresden","Stefanie","Speidel","National Center for Tumor Diseases (NCT)","The current practice of surgical telementoring involves remote experts providing guidance via telephone or video conferences. Especially in minimally invasive surgery (MIS), this greatly limits their insight into the procedure and inhibits effective deictic referencing. To address this, we present Endomersion, an immersive remote guidance and feedback system that allows verbal and non-verbal communication through audio chat, pointing and telestration, enables remote control of the endoscope camera, and offers an immersive 3D workspace supporting remote expert's understanding of the on-site operation. The system was developed with feedback from surgeons and tested in actual operating room settings. In this demonstration, users take over the role of the remote expert, communicating with the on-site surgeon and remotely controlling the endoscopic camera attached to a robot arm.","FIxNry4hf3M","CEZEMBRE","7"
"PO1091","P.E.T.R.A: Persuasive Environment for Tracking and Regulating Arousal and Valence in Virtual Reality","Fabio Vito","Papapicco","Universita degli Studi di Bari Aldo Moro","Francesca","Cuzzo","Universita degli Studi di Bari Aldo Moro","Veronica","Rossano","University of Bari",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The rising prevalence of gambling, particularly in digital formats, demands innovative approaches to understanding and mitigating Gambling Disorder (GD). Virtual Reality (VR), with its immersive and interactive potential, offers a unique platform to explore the complex interplay of psychological and environmental factors contributing to impulsive gambling behaviors. This research introduces P.E.T.R.A. (Persuasive Environment for Tracking and Regulating Arousal), a novel VR-based environment designed asan amusement park simulation. P.E.T.R.A combines elements inspired by electronic gambling machines (EGMs) with gamification mechanics to study and modulate emotional arousal and valence. Using the Circumplex Model of Emotion, P.E.T.R.A. tracks and analyzes affective states in real time, providing insights into impulsive decision-making. Preliminary results validate P.E.T.R.A.?s capability to evoke realistic emotional responses and inform future interventions, particularly for cognitive behavioral therapy (CBT). This work aims at demonstrating the potential of VR technologies for GD research, prevention, and therapeutic applications.","Gd1B3QXYGE4","CEZEMBRE","6"
"PO1095","Power wheelchair driving: a multisensory simulator using VR to learn inrehabilitation centers","Fabien","Grzeskowiak","Inria Centre Bretagne Atlantique","Emilie","Leblong","Pole Saint Helier, rehabilitation center","Sébastien","THOMAS","INRIA","Francois","Pasteau","Univ Rennes, INSA","Louise","Devigne","Irisa-UMR6074","Sylvain","GUEGAN","Univ Rennes, INSA Rennes, LGCGM","Marie","Babel","Univ Rennes, INSA Rennes, Inria, CNRS, IRISA",,,,,,,,,,,,,,,,,"Power wheelchairs (PWCs) significantly enhance mobility for individuals with disabilities but are often challenging to master, requiring extensive training. Traditional training methods can be risky, resource-intensive, and difficult to implement. Virtual reality (VR) offers a safer, customizable, and effective alternative, as demonstrated in rehabilitation contexts. We developed a multisensory VR simulator incorporating vestibular feedback to enhance the sense of presence and mitigate cybersickness. Our studies show effective skill transfer from the virtual environment to real-world PWC use, validated with actual users in clinical trials. This demonstration highlights the capabilities of our mechanical simulator, featuring navigation scenes from previous trials and ongoing work with virtual agents. The simulator's immersive and adaptive design addresses the challenges of PWC training, offering a practical and innovative solution for clinicians and users alike.","H8hpIWWUtFw","CEZEMBRE","5"
