"BoothID","authors","abstract","title","PosterCategory","VideoLink"
1001,"Ana David: Instituto Superior Técnico, University of Lisbon; Daniele Giunchi: University College London; Stuart James: University College London (UCL); Anthony Steed: University College London; Augusto Esteves: Instituto Superior Técnico, University of Lisbon","We describe the development of PaintBranch, a virtual reality prototype designed to support asynchronous collaborative art. By incorporating version control (VC), PaintBranch aims to promote creative idea generation and reduce conflicts during collaboration. In a user study, eight participants were organized into four pairs and worked asynchronously for a week, with each participant having four painting sessions. We analyzed the emerging collaboration patterns and uses. Results indicated that experienced artists used these features effectively to meet collaborative and personal goals.","PaintBranch: Asynchronous Collaborative Art in Virtual Reality","Collaboration, Virtual Humans and Social Applications ",OJYIdEBWYzo
1002,"Anjela Mayer: Karlsruhe Institute of Technology; Ines Miguel-Alonso: University of Burgos; Jean-Rémy Chardonnet: Arts et Metiers Institute of Technology; Andrés Bustillo: Universidad de Burgos; Jivka Ovtcharova: Institute for Information Management in Engineering","This study investigates baseline modalities for evaluating Augmented Reality (AR) avatar guidance in asynchronous collaboration on spatially complex tasks. A formative study with three participants compared smartphone video, HoloLens video, and AR avatars across usability, collaboration, learning, and spatial awareness. Results suggest smartphone video as a reliable baseline due to usability and familiarity. Avatars showed potential for enhancing spatial awareness, task engagement, and learning outcomes but require interface improvements. Despite the small sample size, this study offers insights into immersive technologies for industrial training and collaboration.","Enhancing Asynchronous Learning in immersive Environments: Exploring Baseline Modalities for Avatar-Based MR Guidance","Collaboration, Virtual Humans and Social Applications ",Mor4dodEsrk
1003,"Jiayi Zhao: Beijing Institute of Technology; Nan Gao: Institute of Automation, Chinese Academy of Sciences; Dongdong Weng: Beijing Institute of Technology; Yihua Bao: Beijing Institute of Technology; Xiaoqiang Liu: Kuaishou Technology ; Yan Zhou: Kuaishou Technology ","Co-speech motion generation is a challenging task requiring alignment between motion, speech rhythm, and semantics. To improve adaptability, style control mechanisms, including emotion perception and personalized motion generation, are needed. We propose a hybrid emotion-aware personalized co-speech motion generation system, consisting of an emotion-aware module based on LLM and a rhythm motion generation module based on diffusion, ensuring consistency between motion and speech emotion. Additionally, we introduce a style transfer module to adapt the generated motions to the speaker’s style. Experimental results show the system generates stylized and emotionally consistent motions, enhancing the realism and stylization of virtual humans.","Emotion-Aware Personalized Co-Speech Motion Generation","Collaboration, Virtual Humans and Social Applications ",rOaTSNFhXFQ
1004,"Marie Michael Morita: Ritsumeikan University; Yuji Fujihara: Ritsumeikan University; Tetsuro Nakamura: Ritsumeikan University; Miki Matsumuro: Cornell University; Fumihisa Shibata: Ritsumeikan University; Asako Kimura: Ritsumeikan Univ.; Norimichi Kitagawa: Ritsumeikan University","When two individuals control a virtual avatar simultaneously (virtual co-embodiment), their  movement performance can, somewhat surprisingly, improve compared to when they control an avatar alone. This study investigated whether movement performance is affected by how individuals' movements embody into an avatar: by averaging the positions of body parts of each individual or by summing the movement vector of each individual's body parts. The experiment, in which participants reached a target with the avatar’s hand in these two types of co-embodiment, showed that the vector summation was more efficient in improving body movements than the position average.","Comparison of  Calculation Modes for Virtual Co-embodiment: Movement Average and Vector Summation","Collaboration, Virtual Humans and Social Applications ",sgoAUQ2gnPs
1005,"Xiaofeng Dou: ShanghaiTech University; Jiahe Dong: ShanghaiTech University; Shuhao Zhang: ShanghaiTech University; Qian Zhu: The Hong Kong University of Science and Technology; Quan Li: ShanghaiTech University","With the evolution of social interaction needs, danmaku comments on 2D screens have emerged in Asia, offering users a virtual co-viewing experience. With advancements in virtual reality (VR) technology, there is an increasing demand for similar co-viewing experiences in VR settings. In this study, we designed the Danmaku Avatar System to explore the adaptation of danmaku into VR environments to enhance shared viewing experiences. Comparative experiments showed that danmaku avatars substantially improved social presence and increased the desire for communication. These findings lay the groundwork for further refining danmaku representations in VR, advancing virtual social interactions and immersive viewing experiences.","Danmaku Avatar: Enabling Co-viewing Experiences in Virtual Reality via Danmaku","Collaboration, Virtual Humans and Social Applications ",K44ZLTiqz_s
1006,"Kilian L. Krause: Fraunhofer HHI; Wieland Morgenstern: Fraunhofer HHI; Anna Hilsmann: Fraunhofer HHI; Peter Eisert: Fraunhofer HHI","Digitizing the humans and scenes around us is a challenging research topic, with results finding new and more widespread implementation in modern applications. This paper addresses the challenge of real-time rendering of dynamic 3D scenes. The proposed approach utilizes Instant Neural Graphics Primitives (iNGP), training a radiance field for each individual frame. To achieve playback rates suitable for interactive VR experiences, we developed efficient data storage and loading methods. We present a modular framework for playing real-time free-viewpoint videos on a conventional Desktop PC, to showcase research advancements of dynamic radiance fields.","Realtime-Rendering of Dynamic Scenes with Neural Radiance Fields","Collaboration, Virtual Humans and Social Applications ",jRcIBDoLIgk
1007,"Talya Maness: Reichman University; Anat Klomek Brunstein: Reichman University; Doron Friedman: Reichman University","We introduce AI-enhanced virtual humans to address the shortage of human professionals in mental health. Specifically, we allow for automatically learning and practicing resilience skills by assisting a distressed virtual human, utilizing the established Resilience Plan Intervention (RPI). One hundred participants underwent a brief training session in the RPI and then applied their newly acquired resilience strategies in simulated interactions with a distressed individual, conducted through either VR or traditional role-playing. The results revealed significant enhancements in reported resilience for both groups, accompanied by significant increases in reported levels of cognitive flexibility, emotion regulation, and help-seeking abilities.","Enhancing Resilience through AI-Driven Virtual Reality","Collaboration, Virtual Humans and Social Applications ",PE0dX5Yn4N4
1008,"Alice Guth: Davidson College; Tabitha C. Peck: Davidson College","Avatars in virtual spaces often serve as extensions of users. Avatar choice depends on context, with users typically selecting avatars they identify with. Race and gender can influence avatar selection. This study explores avatar choice when a gender-race-matched avatar is unavailable. We examine whether participants are more likely to choose a race-matched or gender-matched avatar in the absence of a gender-race-matched option. Results show that all participants select avatars matching at least one aspect of their identity. When forced to choose, participants favored gender-matched avatars over race-matched ones, suggesting gender may be more central to one's identity during avatar selection.","Who Will They Choose?: Avatar Selection Without a Gender-Race-Match","Collaboration, Virtual Humans and Social Applications ",k89e1laVmWc
1009,"Taeyeon kim: Pusan National University ; Hyeongil Nam: University of Calgary; Ahmad A Fouad: University of Calgary; Kangsoo Kim: University of Calgary; Myungho Lee: Pusan National University","As Artificial Intelligence and Virtual Reality evolve, intelligent virtual agents are shifting from mere information retrieval to significantly influencing users’ cognition and decision-making processes as social actors. This study examines the impact of dominance, a critical element of social interaction, by incorporating it into agents through verbal and non-verbal cues.  We present our preliminary research framework, which includes both the experimental design and the development of the agent system. The findings of this study are anticipated to offer valuable insights into the dynamics of user interactions with virtual agents and their broader implications.","Exploring the Effects of Embodied Agents' Verbal and Nonverbal Dominance on Decision-Making: A Study Design","Collaboration, Virtual Humans and Social Applications ",lXvAaHc0F4c
1010,"Inas Redjem: Univ Rennes; Julien Cagnoncle: Univ. Rennes; Arnaud Huaulmé: Univ Rennes; Alexandre Audinot: Univ Rennes; Florian Nouviale: Univ Rennes; Mathieu Risy: Univ Rennes; Valérie Gouranton: Univ Rennes; Estelle Michinov: Univ Rennes; Pierre Jannin: Univ Rennes","As simulation advances in healthcare training, understanding how body-only signals convey emotions in virtual environments is crucial, particularly with masked virtual agents. This study involved 41 nursing students evaluating 16 faceless fear and surprise postures to assess their realism and the emotion conveyed. While well-recognized in 2D human representations, only three of 16 postures were correctly identified by more than 50% of participants in a 3D virtual agent. These results highlight the impact of virtual agent design on emotional recognition and the need for rigorous testing and refinement to improve emotional expressiveness and realism.","When Faces Are Masked: Exploring Emotional Expression Through Body Postures in Virtual Reality","Collaboration, Virtual Humans and Social Applications ",dCiVxbvJaps
1011,"Shihui XU: Waseda Univiersity; Like WU: Waseda University; Wenjie Liao: Waseda University; Shigeru Fujimura: Waseda University","Telepresence using drones is a promising technology. This paper presents a user study within a simulated Virtual Reality (VR) remote collaboration system to shed light on users' perceived safety and trust regarding telepresence drones. We manipulated drone operation variables, including failure of drone, speed of flying, and distance restriction, to assess their impact on user perceptions. Quantitative and qualitative analysis shows that drone failures significantly reduce safety and trust for both local and remote users. Flying speed affects safety and trust for local workers but only impacts safety for remote experts. Distance restrictions enhance both safety and trust.","Exploring Human Reactions to Telepresence Drones: A User Study on Safety and Trust Using A Simulated Drone in a VR Environment","Collaboration, Virtual Humans and Social Applications ",yohV-IvWXZA
1012,"Junhee Lee: Kwangwoon University; Hwanjo Heo: ETRI; Seungwon Woo: ETRI; Minseok Kim: Kwangwoon University; Jongseop Kim: Kwangwoon University; Jinwoo Kim: Kwangwoon University","Social Virtual Reality (VR) platforms have surged in popularity, yet their security risks remain underexplored. This paper presents four novel UI attacks that covertly manipulate users into performing harmful actions through deceptive virtual content. Implemented on VRChat and validated in an IRB-approved study with 30 participants, these attacks demonstrate how deceptive elements can mislead users into malicious actions without their awareness. To address these vulnerabilities, we propose MetaScanner, a proactive countermeasure that rapidly analyzes objects and scripts in virtual worlds, detecting suspicious elements within seconds.","Illusion Worlds: Deceptive UI Attacks in Social VR","Collaboration, Virtual Humans and Social Applications ",xbSog4EBrI4
1013,"Jaejoon Jeong: Chonnam National University; Hwaryung Lee: Chonnam National University; Ji-eun Shin: Chonnam National University; Daeun Kim: Chonnam National University; Sei Kang: Chonnam National University; Gun A. Lee: University of South Australia; Soo-Hyung Kim: Chonnam National University; Hyung-Jeong Yang: Chonnam National University; Seungwon Kim: Chonnam National University","This study examined whether individuals with richer real-world social resources exhibit a greater willingness to interact with social avatars in Virtual Environment (VE). Employing a psychological approach, we assessed willingness to interact by measuring response times for pulling or pushing avatars. The results revealed that participants with richer social resources performed faster pulling actions toward social avatars, indicating a heightened willingness to engage. Notably, these effects were specific to social targets (i.e., avatars) and were not observed with non-social targets (i.e., a flag).","Willingness to Interact: Social Resources Facilitate Pulling Actions toward Social Avatars in Virtual Reality","Collaboration, Virtual Humans and Social Applications ",-Ys_rPbK6ds
1014,"Shuxian Li: Lenovo Research; Tianyue Wang: Lenovo Research; Yiqiang Yan: Lenovo Reaserch; Chris Twombly: Lenovo Research","Real-time facial avatar animation is widely used in entertainment, office, business and other fields, where blendshapes have become a common industry animation solution. We independently developed an accurate blendshape prediction system for low-power VR applications using a webcam. First, feature vectors are extracted through affine transformation and segmentation. Using further transformation and regression analysis, we created statistical models with significant predictive power. Post-processing was used to further improve response stability, including smoothing, filtering and nonlinear transformations. We achieved accuracy similar to ARKit 6. Our model has low requirements with a consistent, accurate and smooth visual experience.","Statistical Blendshape Calculation and Analysis for Graphics Applications","Collaboration, Virtual Humans and Social Applications ",ZjfjnpXmlpg
1015,"Yasas Sri Wickramasinghe: University of Canterbury; Heide Lukosch: University of Canterbury; James Everett: Niantic Aotearoa NZ; Stephan Lukosch: University of Canterbury","This paper presents a study on the impact of enabling remote gameplay via Augmented Reality (AR) on spatial decision-making and player experience in a hide-and-seek game. We designed a remote multiplayer handheld-based AR game and evaluated how it influences players’ spatial decision-making strategies, engagement, and gameplay experience. In a study with 60 participants, we compared remote gameplay in our AR game to traditional hide-and-seek. Our findings show that AR enhances gameplay by improving spatial interactions, decision-making, and collaboration. Despite navigation challenges, AR has the potential to foster player engagement and social interaction, contributing to the design of future AR games and beyond.","Augmented Hide-and-Seek: Evaluating Spatial Decision-Making and Player Experience in a Multiplayer Location-based Game","Collaboration, Virtual Humans and Social Applications ",sJTn7yiinlI
1016,"Lauren Gold: Arizona State University; Flemming Laursen: Arizona State University; Krutik Pandya: Arizona State University; Kathryn E Powell: Arizona State University; Robert LiKamWa: Arizona State University","Virtual Reality (VR) and desktop users struggle to coordinate due to scale differences when analyzing geospatial data. This work explores multiscale workspace awareness techniques in geospatial analysis scenarios, such as scale-responsive cursors and vistas. A study (n = 16) compared Common Ground to current collaboration tools. The results reveal that 34% of users struggle to maintain awareness of their collaborator's focus, which drops to 9% with Common Ground; and 32% of users struggle to know precisely what features their collaborator referenced, decreasing to 15% with Common Ground. A follow-up with 12 geospatial practitioners provided insights into real-world applications of our system.","Common Ground: Establishing Group Awareness for Cross-Virtuality Collaborative Geospatial Analysis","Collaboration, Virtual Humans and Social Applications ",ib9z5ey-rBM
1017,"Shuto Takashita: The University of Tokyo; Taiga Suzuki: Information Somatics Lab, The University of Tokyo; Naoki Tanaka: Information Somatics Lab, The University of Tokyo; Masahiko Inami: Information Somatics Lab, The University of Tokyo","We present the concept of an “Editable Body,” enabling users to modify their avatar’s structure and control scheme in real time. In our VR game, users embody a robot avatar whose mapping to their real limbs can be freely edited and whose structure can be augmented with a third arm. We investigated how this system affects participants’ perceptions of body identity, body-related expression, and impressions of body-editing technologies. Our findings indicate that real-time, user-driven body editing leads to greater acceptance of identity expression through non-innate bodies, fosters a more fluid view of the body, and increases openness to body modification technologies.","Editable Body: Interactive Adaptation of Avatar Control Schemes and Body Structures","Collaboration, Virtual Humans and Social Applications ",v73k5VJmUnc
