"BoothID","authors","abstract","title","PosterCategory","VideoLink"
1201,"Lei He: Beihang University; Mingbo Hu: Beihang University; Hongyu Wu: Beihang University; Shuai Li: Beihang University; Hong Qin: Stony Brook University; Aimin Hao: Beihang University","Haptic rendering and soft body deformation are important part for virtual surgery. In hysteroscopic surgery, movement of surgical tool is limited to the fixed entry point and there is no well-developed algorithm for these surgery scenes. We propose an 4 domain of freedom algorithm suitable for hysteroscopic surgery which can provide stable feedback force and realistic soft body deformation effect. Our energy-based algorithm for rigid-soft body haptic interaction can synchronize iterations with different update frequency. From the experimental results, users can operate in real-time with high stability and fidelity.","4-DOF Haptic Rendering for Hysteroscopic Surgery Simulation","Haptic  Feedback",IOxq26R8Q7A
1202,"Lida Ghaemi Dizaji: University of Calgary; Yaoping Hu: University of Calgary; Mahdiyeh Sadat Moosavi: Arts et Metiers Institute of Technology; Frederic Merienne: Arts et Metiers Institute of Technology","Shape discrimination of objects relies on sensory and contextual cues. While existing studies explored cues for shape discrimination, an underexplored question remains what the minimal haptic cue (one kind of the sensory cues) is sufficient for such discrimination with contextual cues in virtual environments (VE). This study examined whether the changes of force direction – as a haptic cue – could serve this sufficiency. The results of the study confirmed the sufficiency for the discrimination under certain conditions. This confirmation implied a potential of applying force direction to simplify the design of haptic cues for VE applications.","Haptic Shape Perception in Virtual Environments Using Force Direction","Haptic  Feedback",ZRDD5VQ2oNM
1203,"Josué JV Vincent: ESIEA; Théo COMBE: Caplogy; Noreen Izza Arshad: Universiti Teknologi PETRONAS; Aylen Ricca: Univ. Evry, Paris-Saclay","This research investigates the realism of virtual touch through haptic devices, comparing high-fidelity haptic feedback (force-based) with pseudo-haptics (visual illusions of touch) in the context of training. This preliminary study involves the design and development of a virtual reality (VR) prototype, and an experimental evaluation in which participants performed an object manipulation task under two conditions (force feedback and visuo-haptics feedback) to assess weight estimation and self-performance. Results show that haptic feedback enhances realism and presence in VR, but pseudo-haptic feedback offers a cost-effective alternative for less precision-critical tasks, with potential for refinement.","Understanding User Perception of Haptic Illusions","Haptic  Feedback",LxK0h6Fy5Dg
1204,"Mathieu Lutfallah: ETH Zurich; Alessandro Biella: ETH Zurich; Andreas Kunz: ETH Zurich","This study investigates the combined effects of time pressure and interactivity on hand redirection perception in virtual reality during haptic retargeting, using an immersive shooting game as the experimental context. A total of 27 participants interacted with a haptic proxy under two experimental conditions: varying the speed of approaching enemies and the distance between the physical and virtual objects. The results revealed a high perceived normality of interactions, with over 50\% of responses rated as normal across all phases of the experiment. These findings highlight the positive influence of engagement on the perceived realism of haptic interactions.","Hand Redirection Thresholds in a Shooting Game","Haptic  Feedback",iLfI7pfXvdo
1205,"Sophie Villenave: Ecole Centrale de Lyon, CNRS, INSA Lyon, Universite Claude Bernard Lyon 1, Université Lumière Lyon 2, LIRIS, UMR5205, ENISE; Pierre Raimbaud: Ecole Centrale de Lyon, CNRS, INSA Lyon, Universite Claude Bernard Lyon 1, Université Lumière Lyon 2, LIRIS, UMR5205, ENISE; Guillaume Lavoué: Ecole Centrale de Lyon, CNRS, INSA Lyon, Universite Claude Bernard Lyon 1, Université Lumière Lyon 2, LIRIS, UMR5205, ENISE","Thermal effects in Virtual Reality (VR) can provide sensory information when interacting with objects, or create a thermal ambiance for a Virtual Environment (VE). They are critical to a range of applications, such as firefighting training or thermal comfort simulation. Existing ambient thermal feedback systems revealed limitations: some lack of proper sensory characterization, limit movements and interactions, and can be difficult to replicate. In this context, our contribution is a reproducible room-scale system able to provide dynamic ambient thermal feedback for 6 Degrees of Freedom VR experiences. We present its psychophysical study on thermal sensation, latency, and noise (n=10).","Dynamic and Modular Thermal Feedback for Interactive 6DoF VR","Haptic  Feedback",2CtZxlhU1MA
1206,"Kotaro Okada: Osaka University; Kazuhiro Matsui: Osaka Electro-Communication University; Ruu Fujii: Osaka University; Ryoma Kojima: Osaka University; Keita Atsuumi: Hiroshima City University; Hiroaki Hirai: Osaka University; Atsushi Nishikawa: Osaka University","This study explores the impact of our developed virtual self-touch (VST), where participants touch an avatar as a substitute body and receive haptic feedback, on updating the body schema for intervention in motor control strategies. VST was tested with ten participants using avatars of normal size and those with elongated forearms. The effectiveness of the method was evaluated using perceptual drift and reaching tasks, comparing VST to the arm swing task (AST). The results showed that VST enhanced perceptual drift and affected motor control strategy more than AST, suggesting its role in altering the body schema. The effect of this motor control strategy leads to rehabilitation.","Impact of Virtual Self-Touch on the Embodiment of Avatars with Different Body Sizes","Haptic  Feedback",qO88yUAtGPk
1207,"Yunxiu Xu: Institute of Science Tokyo; Siyu Wang: Institute of Science Tokyo; Shoichi Hasegawa: Institute of Science Tokyo","We introduce a lightweight wearable haptic device providing tangential force feedback through fingernail stimulation. The device uses a ring structure on the fingernail with three miniature motors: two for string-based feedback and one with an arc-shaped pin. The design maintains finger pad sensitivity by placing actuators on the nail side while delivering 2-DOF force feedback. Weighing 5.24g, the device generates nine force patterns by combining string tension and pin pressure. User studies evaluated direction discrimination and perception of weights and friction coefficients.","Lightweight Wearable Fingertip Haptic Device with Tangential Force Feedback based on Finger Nail Stimulation","Haptic  Feedback",fs2Byr9ZsyA
1208,"Hiroki Ota: Nara Institute of Science and Technology; Yutaro Hirao: Nara Institute of Science and Technology; Monica Perusquia-Hernandez: Nara Institute of Science and Technology; Hideaki Uchiyama: Nara Institute of Science and Technology; Kiyoshi Kiyokawa: Nara Institute of Science and Technology; Maud Marchal: Univ. Rennes, INSA, IRISA, Inria","This study investigates the manipulation of fingertip contact plane manipulation to enhance visuo-haptic coherency of virtual object. We designed a compact device that adjusts fingertip contact plane tilt to simulate diverse 3D shapes. Through user studies, the device demonstrated significant improvements in haptic realism, enjoyment, and operability compared to conventional methods. These findings highlight the potential of fingertip contact plane manipulation as a novel approach for advancing virtual reality (VR) haptic interfaces, enabling more immersive and realistic experiences.","Enhancing Visuo-Haptic Coherency by Manipulating Fingertip Contact Tilt","Haptic  Feedback",yP-vO3BtxDc
1209,"Carlos Paniagua: Nara Institute of Science and Technology; Hiroki Ota: Nara Institute of Science and Technology; Yutaro Hirao: Nara Institute of Science and Technology; Monica Perusquia-Hernandez: Nara Institute of Science and Technology; Hideaki Uchiyama: Nara Institute of Science and Technology; Kiyoshi Kiyokawa: Nara Institute of Science and Technology","Tape-Tics is a flexible, modular vibrotactile feedback system integrating LEDs and vibration motors. Users can adjust vibration intensity, LED colors, and configurations via Bluetooth Low Enery (BLE), enabling operation based on predefined settings. Built with flexible printed circuit (FPC) technology, Tape-Tics adapts to curved surfaces, enhancing its versatility in education, research, and art. In a hands-on workshop, participants assembled and operated Tape-Tics to explore vibrotactile technology. Using the GUI controller, they configured vibration patterns and developed unique applications. Surveys showed participants’ understanding of haptics improved significantly, and they rated Tape-Tics highly as an educational tool.","A Flexible Vibrotactile Feedback System for Rapid Prototyping","Haptic  Feedback",rIjlwakAgLE
1210,"Zhongyuan Yu: Technische Universität Dresden; Julian Baader: Computer Science; Matthew McGinity: Technische Universität Dresden","With the advent of mixed reality technologies, low-cost mobile head-mounted displays such as the Meta Quest series become widely affordable. These devices come with markerless inside-out tracking capabilities and onboard operating systems and thus can be used in large spaces for interactive data exploration. In this work, we introduce design considerations, concepts, and methods to enhance the interactive exploration and authoring of knowledge graph datasets within architectural-scale mixed reality environments. We have developed a prototype showcasing the potential of our concept. Moving forward, we plan to continue developing the system and conduct user studies to further evaluate our concepts.","Unfolding Complex Knowledge Graphs in Large Mixed Reality Space","Interaction and Interfaces",59ttGxd049w
