Firstname,Familyname,Middleinitial,Lab,Institution,Country
Marcel,Kruger,,Visual Computing Institute,RWTH Aachen University,Germany
Tor-Salve,Dalsgaard,,Department of Computer Science,University of Copenhagen,Denmark
Sean,Banerjee,,,Wright State University,United States
Vito,Manghisi,M,Polythecnic Institute of Bari,University,Italy
Praneeth,Chakravarthula,,Computer Science,UNC Chapel Hill,United States
Ibrahim,Tahmid,,Computer Science,Virginia Tech,United States
HyungSeok,Kim,,VR Lab,Department of Computer Engineering  Konkuk University,Korea  Republic of
Colin,Groth,,,TU Braunschweig,Germany
Natasha,Banerjee,Kholgade,,Wright State University,United States
Lee,Lisle,,Department of Computer Science,Virginia Tech,United States
Tom,ROY,,,INRIA,France
Ye,Pan,,,Shanghai Jiaotong University ,China
Xinxing,Xia,,Institute for Media Innovation,Nanyang Technological University,Singapore
Louis,Fong Wee Teck,,Visual Intelligence,Institute for Infocomm Research,Singapore
Zhe,Sun,,,Tsinghua University,China
Francesco,Ferrise,,Department of Mechanical Engineering,Politecnico di MIlano,Italy
Shihong,Xia,,,Institute of Computing Technology  CAS,China
Tim,Weissker,,Visual Computing Institute,RWTH Aachen University,Germany
Tianyu,Song,, Chair for Computer Aided Medical Procedures,Technical University of Munich,Germany
Zhenliang,Zhang,,,Beijing Institute for General Artificial Intelligence,China
Agata Marta,Soccini,,Computer Science Dpt,Universit degli Studi di Torino,Italy
Alexander,Giovannelli,,Center for Human-Computer Interaction,Virginia Tech,United States
Erik,Wolf,,Human-Computer Interaction Group,University of Wurzburg,Germany
David,Gilbert,,Visual Computing Institute,RWTH Aachen,Germany
Julian,Kreimeier,,Human-Centered Computing and Extended Reality Lab,Technical University of Munich,Germany
Daniel,Rupp,,Visual Computing Institute,RWTH Aachen University,Germany
Shu,Wei,,Department of Psychiatry,University of Oxford,United Kingdom
Nico,Feld,,,Trier University,Germany
Brett,Benda,,Department of Computer & Information Science & Engineering,University of Florida,United States
Jeanne,Hecquard,,,Inria,France
Niall,Williams,L.,,University of Maryland  College Park,United States
Tongyu,Nie,,Department of Computer Science & Engineering,University of Minnesota,United States
Eike,Langbehn,,,University of Applied Sciences Hamburg,Germany
Julien,Manson,,University of Rennes,Inria  IRISA,France
Shihui,Guo,,,Software School,China
Kevin,Yu,,,medPhoton GmbH,Austria
Jonathan,Sutton,,,University of Copenhagen,Denmark
Katja,Zibrek,,,INRIA,France
Melanie,Derksen,,,TU Dortmund University,Germany
Yann,Moullec,,,Univ Rennes  Inria  IRISA,France
Timo,Menzel,,Computer Graphics Group,TU Dortmund University,Germany
Alexandre,Gomes de Siqueira,,Virtual Environments Research Group,Florida University,United States
Frank,Maurer,,Department of Computer Science,University of Calgary,Canada
Kyung Ho,Won,,,Inria,France
Sahar,Aseeri,,Computer Science and Engineering,University of Minnesota,United States
Vincent,Tourre,,Ambiances Architectures Urbanities  CRENAU,Ecole Centrale de Nantes,France
Flavien,Lecuyer,,iCube,Universite de Strasbourg,France
Markku,Suomalainen,,Intelligent Robotics Research Group,VTT Technical Research Centre of Finland,Finland
Florian,Schier,,Immersive Experience Lab,Technische Universitat Dresden,Germany
Shakiba,Davari,,Center for Human-Computer Interaction,Virginia Tech,United States
Ding,Li,,,Adobe Research,United States
Ashu,Adhikari,,School of Interactive Arts and Technology,Simon Fraser University,Canada
Francois,Le Jeune,,D5/HYBRID,Universite de Rennes  Inria  CNRS  IRISA,France
Alexander,Marquardt,,Bonn-Rhein-Sieg University of Applied Sciences,Institute of Visual Computing,Germany
Hannah,Schieber,,Human-Centered Computing and Extended Reality,Technical University of Munich (TUM),Germany
Mark,Miller,Roman,Computer Science,Illinois Institute of Technology,United States
Sony,Saint-Auret,,,Univ. Rennes  Inria  INSA  CNRS,France
Jens,Koenen,,Visual Computing Institute,RWTH Aachen University,Germany
Mathieu,Chollet,,School of Computing Science,University of Glasgow,United Kingdom
Weitao,Song,,School of Optics and Photonics,Beijing Institute of Technology,China
Maxime,Dumonteil,,Univ Rennes,Inria  CNRS  IRISA,France
Pierre,Bourdin-Kreitz,,Computer Science  Multimedia and Telecommunications Department (EIMT),Universitat Oberta de Catalunya,Spain
Tim,Gerrits,,,RWTH Aachen University,Germany
Constantin,Kleinbeck,,Human-Centered Computing and Extended Reality  TUM School of Medicine,Technical University of Munich,Germany
Jordan,Martin,,,Inria,France
Sheng,Li,,Computer Science and Technology,Peking University,China
Dongyun,Han,,Computer Science,Utah State University,United States
Flavien,Lebrun,,IBISC Lab,Univ Evry  Universite, Paris Saclay
Iana,Podkosova,,Interactive Media Systems,TU Wien,Austria
Wei Tsang,Ooi,,Computer Science,National University of Singapore,Singapore
Mathieu,Risy,,IRISA,University of Rennes,France
Yann,Glemarec,,INRIA,University of Rennes  CNRS  IRISA,France
Guang-Yu,Nie,,,North Carolina State University,United States
