test,Firstname,Familyname,Subcommittee,Middleinitial,Namesuffix,Affil1Institution,Affil1City,Affil1State,Affil1Country
1,Bobby,Bodenheimer,Supercommittee,,,Vanderbilt University,Nashville,Tennessee,USA
2,Praneeth,Chakravarthula,Supercommittee,,,UNC Chapel Hill,Chapel Hill,North Carolina,USA
3,Marina,Cidota,Supercommittee,,,University of Bucharest,Bucharest,,Romania
4,Pablo,Figueroa,Supercommittee,,,Universidad de los Andes,Bogota,D.C.,Colombia
5,Michele,Fiorentino,Supercommittee,,,Polythecnic Institute of Bari,Bari,,Italy
6,Bernd,Froehlich,Supercommittee,,,Bauhaus-Universität Weimar,Weimar,,Germany
7,Victoria,Interrante,Supercommittee,,,University of Minnesota,Minneapolis,Minnesota,USA
8,Mariko,Isogawa,Supercommittee,,,NTT,Yokosuka,,Japan
9,Daisuke,Iwai,Supercommittee,,,Osaka University,Toyonaka,Osaka,Japan
10,Denis,Kalkofen,Supercommittee,,,Flinders University,Adelaide,,Australia
11,Gudrun,Klinker,Supercommittee,,,Technical University of Munich,Munich,,Germany
"12,Maud,Marchal,Supercommittee,,,""Univ. Rennes, INSA, IRISA, Inria"",Rennes,,France"
13,Shohei,Mori,Supercommittee,,,Graz University of Technology,Graz,,Austria
14,Anne-Hélène,Olivier,Supercommittee,,,University of Rennes 2,Rennes,,France
15,Francisco,Ortega,Supercommittee,Raul,,Colorado State University,Ft. Collins,Colorado,USA
16,John,Quarles,Supercommittee,,,University of Texas at San Antonio,San Antonio,Texas,USA
17,Taehyun,Rhee,Supercommittee,James,,Victoria University of Wellington,Wellington,,New Zealand
18,Hideo,Saito,Supercommittee,,,Keio University,Yokohama,,Japan
