num,id,title,day,starttime,endtime,timezone,abstract,organiser,url,room
1,ReViSI,1st International Workshop on Real and Virtual Spaces Influences,TBD,TBD,TBD,"Saint-Malo, France UTC+1","This will be the first edition of the workshop, designed to bring
together researchers from diverse fields to promote a multidisciplinary conversation around a key
question: how do real and virtual environments reciprocally influence each other? More specifically,
we aim to answer questions like, “Can stimuli from the real world affect a person’s sense of presence
in Extended Reality (XR)?”, and “Can virtual stimuli alter how people perceive the real world?”. We
invite students, PhD candidates, postdoctoral researchers, and faculty working in XR and cognitive
psychology – especially those focused on ecologically valid experiments – to participate. We especially
encourage contributions from researchers interested in exploring the interaction between real and
virtual stimuli, not only to enhance the sense of presence within virtual environments but also to develop
more effective applications for training and rehabilitation.",Laura Battistel,https://sites.google.com/unitn.it/rvsi-ieee-vr-25/home-page,TBD
2,XRMemory,1st International Workshop on Spatial Memory in XR,TBD,TBD,TBD,"Saint-Malo, France UTC+1","The goal of this workshop is to explore technologies enabling immersive, memory-rich
experiences, allowing users to revisit moments as if they were truly back in those spaces.
While traditional media such as photos and videos have long served as tools for recalling
past experiences, the increasing accessibility of AR/VR HMDs and the progress in spatial
computing now open doors to far more immersive and realistic forms of memory recall
across time and space. This workshop aims to bring together experts across AI, XR, AR/VR,
graphics, computer vision, and large language models (LLMs) to investigate the
technological foundations for capturing, recreating, and sharing these limitless spatial
experiences. By fostering discussions on how these interdisciplinary technologies can
enable richer, more vivid forms of memory retention and experience sharing, we hope to
reshape the way of reminding memory across the limits of time or place.",Dooyoung Kim,https://sites.google.com/view/spatial-memory-vr-2025/main,TBD
3,LocXR,3rd Workshop on Locomotion and Wayfinding in XR ,TBD,TBD,TBD,"Saint-Malo, France UTC+1","This Workshop on Locomotion and Wayfinding in XR is intended to initiate novel and
deepen existing discussions between researchers and practitioners interested in the broad
area of navigation in extended reality. While navigation is one of the most fundamental
forms of user interaction required in almost every XR application, existing research still
leaves a plethora of open research questions regarding the conceptual design, technical
realization, and systematic evaluation of navigation interfaces for particular use cases. This
iteration of the workshop sets a particular focus on the topics of accessibility and
standardization in navigation research. The workshop aims to thematize these issues in
more detail and offer a platform for discussing current and future research projects in the
field with the community.",Tim Weissker,https://sites.google.com/view/xr-locomotion-and-wayfinding,TBD
4,WISP,IEEE VR Workshop on Immersive Sickness Prevention,TBD,TBD,TBD,"Saint-Malo, France UTC+1","Cybersickness remains one of the most significant challenges facing the virtual reality industry. Although
immersive technologies have been advancing rapidly, their rate of public adoption has been slowed by the fact
that many users experience physical discomfort during or after the use of VR devices, with symptomatic
characteristics similar to motion sickness. Furthermore, studies have consistently shown that motion sickness
disproportionately affects women, and concerns have been raised about the existence of inequitable barriers
for engaging with immersive media.",Isayas Berhe Adhanom,https://sites.google.com/umn.edu/wisp,TBD
5,NIDIT,Novel Input Devices and Interaction Techniques,TBD,TBD,TBD,"Saint-Malo, France UTC+1","We propose to hold the 6th workshop on Novel Input Devices and Interaction Techniques (NIDIT). The goal of NIDIT is to drive forward innovation in hardware and software for 3D
interactive systems. We will seek submissions presenting new input devices and/or interaction techniques and/or 3D user interfaces (3DUI) in 3D/spatial situations, including virtual reality (VR), augmented reality (AR), and mixed/extended reality (MR/XR).",Mayra Barrera Machuca,https://sites.google.com/view/nidit,TBD
6,ENPT XR,Emerging Novel Prototyping Techniques for XR,TBD,TBD,TBD,"Saint-Malo, France UTC+1","The primary goal of this half a day workshop is to foster a collaborative environment where
researchers and industry practitioners from diverse backgrounds can come together to explore and shape the future of prototyping in the realms of Virtual Reality (VR), Augmented Reality (AR), and 3D User Interfaces. It aims to provide a platform for discussing the latest advances in rapid prototyping techniques for Extended Reality (XR). Additionally, it serves as a forum for sharing ideas, formulating unifying theories, and pinpointing research opportunities, establishing a community, all aimed at advancing the field of XR prototyping.",Assem Kroma,www.xrprototyping.com,TBD
7,SIVE,Sonic Interactions in Virtual Environments ,TBD,TBD,TBD,"Saint-Malo, France UTC+1","Sonic interaction design is defined as the study and exploitation of sound as one of the principal channels
conveying information, meaning, and aesthetic/ emotional qualities in interactive contexts. This field lies
at the intersection of interaction design, and sound and music computing.
In the virtual reality community, the focus on research in topics related to auditory feedback has been
rather limited when compared, for example, to the focus placed on visual feedback or even on haptic
feedback. However, in communities such as the film community or the product sound design community,
it is well known that sound is a powerful way to communicate meaning and emotion to a scene or a
product. This workshops main goal is to increase awareness among the virtual reality community of the
importance of sonic elements when designing virtual/augmented/mixed reality environments (XR
hereafter). We will also discuss how research in other related fields such as film sound theory, product
sound design, sound and music computing, game sound design, and accessibility can inform designers of
XR environments. Moreover, the workshop will feature state-of-the-art research on the field of sound for
XR environments.",Stefania Serafin,https://sive.create.aau.dk/,TBD
8,VR-HSA,The 1st International Workshop on Virtual Reality for Human and Spatial Augmentation,TBD,TBD,TBD,"Saint-Malo, France UTC+1","The VR-HSA workshop aims to unite experts and researchers in virtual reality, human
augmentation, and spatial augmentation to explore cutting-edge innovations and address
critical challenges. The workshop aims to create a collaborative environment where
participants can share advancements, novel approaches, and research findings. By
fostering interdisciplinary discussion, the event will focus on pushing the boundaries of
human and spatial augmentation through VR technologies. The workshop also seeks to
stimulate partnerships across academia, industry, and other sectors, driving forward the
future of these transformative technologies. Ultimately, the goal is to inspire new research
directions, facilitate knowledge exchange, and build a global network dedicated to
advancing the capabilities of VR in augmenting human abilities and expanding spatial
environments.",Daisuke Iwai,https://sites.google.com/vogue.cs.titech.ac.jp/VR-HSA,TBD
9,XR Health,"3rd Workshop on XR Technologies for Healthcare, Wellbeing, and Medicine",TBD,TBD,TBD,"Saint-Malo, France UTC+1","This IEEE VR 2025 workshop focuses on eXtended reality (XR; umbrella term for AR/VR/MR) technologies to help in the broad areas of interest related to healthcare, wellbeing and medicines. With the increasing adoption of XR devices, the workshop aims to explore their potential to enhance healthcare practices and improve individual wellbeing. While XR has shown significant advantages in various healthcare areas, further research is essential. The workshop seeks to unite researchers from the Human-Computer Interaction (HCI) community to share insights and address challenges in XR for healthcare. The workshop invites short paper submissions, with one author needed to present their work talks. Breakout sessions will facilitate in-depth discussions, and invited talks offer diverse perspectives on XR advancements. A primary goal of XR Health 2025 is to connect international researchers in medical, health, and wellbeing XR applications. The workshop provides a platform for early-career researchers to present their work and engage with experienced professionals. We further invite students in this field to contribute to our present your thesis speed dating session, allowing PhD candidates to briefly showcase their thesis projects in 1-2 minutes, fostering quick exchanges of ideas.",Heinrich Florian,https://sites.google.com/view/xrforhealth2025/home,TBD
10,IVL,"3rd Workshop on Immersive Visualization Laboratories - Past, Present and Future ",TBD,TBD,TBD,"Saint-Malo, France UTC+1","Over the past 30 years, many research organizations established large-scale immersive visualization laboratories. Some have been very successful, but others are no longer around. With the recent availability of COTS virtual reality devices, the need for larger immersive visualization laboratories comes into question. Some immersive visualization laboratories have moved away from large scale facilities due to the cost of maintaining these more elaborate systems. But can immersive visualization requirements be satisfied solely using COTS VR devices used by researchers in their own office?
The goal of this workshop is to gather practitioners from immersive visualization laboratories to share their success stories, information about their hardware setups and the software they used and/or developed. Discussion can also include not-so-successful stories with lessons learned and workshop participants will also come together to discuss the future of large-scale immersive visualization labs. We also hope to bring visualization practitioners together to advance the way our field works with immersive visualization hardware and software frameworks for a sustainable immersive visualization laboratory.",Simon Su,https://sites.google.com/view/ivl-workshop3,TBD
11,ReDigiTS,"3D Reconstruction, Digital Twinning, and Simulation for Virtual Experiences",TBD,TBD,TBD,"Saint-Malo, France UTC+1","Today, Virtual Reality (VR) technology is becoming foundational across a wide range of application domains, alongside other immersive technologies within the Extended Reality (XR) spectrum. Areas in which XR technologies and, in particular, immersive experiences have been successfully introduced are expanding daily, from traditional areas, such as entertainment and video game production, to novel scenarios, such as industry, healthcare, smart cities, and autonomous vehicles, to mention a few. The spread of VR is also driven by technological advancements that are making easier, and sometimes even possible, new ways of operating within virtual experiences. In particular, the availability of new hardware and software tools makes the use of “3D reconstructions”, “digital twins” and “simulations” commonplace in many XR applications. For example, the possibility to leverage networks with higher bandwidth than ever before and lower latency makes it possible to transmit the amount of data needed for massive, real-time digital twins, whereas high-performance hardware enables the reconstruction of high-fidelity digital objects and environments while lowering the time needed for high-demanding simulations. This workshop aims to attract a collection of high-quality submissions reporting research activities targeting the next generation of immersive experiences, reporting the latest ideas, methodologies, applications, evaluations, case studies, prototype implementations, preliminary results, and demos concerning 3D reconstruction, digital twinning, and simulation in VR and related technologies.",Alberto Cannavò,https://sites.google.com/view/redigits2025,TBD
12,KELVAR,2025 IEEE VR KELVAR Workshop: K-12+ Embodied Learning through Virtual and Augmented Reality,TBD,TBD,TBD,"Saint-Malo, France UTC+1","K-12+ (K-12 and higher ed) education is currently undergoing a technological revolution creating opportunities for Virtual-, Augmented-, and Mixed-Reality based learning (hereafter referred to as XR [extended reality] technologies. Technology integration will continue to increase as mobile devices penetrate all socioeconomic strata, and as XR technologies become affordable to schools, vocational education providers, universities, and informal educational settings delivered by cultural institutions such as museums, libraries and galleries. These technologies have the potential to facilitate effective learning by: developing the ability to engage students of all ages with interactive 3D simulations of real-life and artificial phenomena; presenting information that is spatially – and temporally – integrated with real objects; leveraging whole-body motions to depict and reinforce learning content. However, there are many questions about the integration of such experiences into the classroom, such as: What curriculum topics might be addressed through XR technologies? What socio-cultural, psychological and physiological mechanisms underlie embodied cognition? How can we design educational experiences that are appropriate for the different stages of human development? How will pedagogical and assessment approaches be influenced by such technologies? In this workshop we aim to bring together educators, developers and researchers who are interested in creating and deploying XR technologies for the educational contexts of the future. The workshop will enable participants to discuss and engage with different approaches for designing and integrating XR technologies with a specific focus on the challenges and potential for embodied learning in the classroom for K-12, vocational and higher education.",Erica Southgate,https://sites.google.com/site/vrkelvar/,TBD
